patatoes	https://xinomavri.wixsite.com/website/post/patatoes	Πατάτες σαν τηγανιτές	recipes	2022-02-13
xinomavro	https://xinomavri.wixsite.com/website/post/xinomavro	Παγκόσμια Ημέρα Ξινόμαυρου	wine	2021-10-31
tryfona	https://xinomavri.wixsite.com/website/post/tryfona	Του Αγίου Τρύφωνα	stories	2021-01-31
chicken_soup	https://xinomavri.wixsite.com/website/post/chicken_soup	Κοτόσουπα μεθεόρτια	recipes	2021-01-03
perek	https://xinomavri.wixsite.com/website/post/perek	Φύλλα περέκ	recipes	2020-12-14
editorial_december	https://xinomavri.wixsite.com/website/post/editorial_december	Ονειρεύομαι ένα καζάνι που βράζει...	stories	2020-11-29
prassopita_belgrade	https://xinomavri.wixsite.com/website/post/prassopita_belgrade	Πρασοτυρόπιτα Βελιγραδέζα	recipes	2020-11-22
turkey_words4	https://xinomavri.wixsite.com/website/post/turkey_words4	Τούρκικες λέξεις στο τραπέζι μας, 4ο μέρος	stories	2020-05-17
mygdala_voglis	https://xinomavri.wixsite.com/website/post/mygdala_voglis	Τα μύγδαλα, ο Βόγλης και το Κορφάρι των Αμυγδαλιών	stories	2020-05-07
οι-γέφυρες-του-κρασιού	https://xinomavri.wixsite.com/website/post/οι-γέφυρες-του-κρασιού	Οι Γέφυρες του Κρασιού	uncorked	2020-04-29
zagori_alevropita	https://xinomavri.wixsite.com/website/post/zagori_alevropita	Αλευρόπιτα Ζαγορίου	recipes	2020-04-21
egreekwine3	https://xinomavri.wixsite.com/website/post/egreekwine3	eGreekWine No3	wine	2020-04-13
lazarakia	https://xinomavri.wixsite.com/website/post/lazarakia	Για την Ανάσταση του Λαζάρου	recipes	2020-04-08
glezos	https://xinomavri.wixsite.com/website/post/glezos	Ένα καλάθι για έναν σπουδαίο άνθρωπο	stories	2020-04-04
ολα-εκλεισαν	https://xinomavri.wixsite.com/website/post/ολα-εκλεισαν	ΟΛΑ ΕΚΛΕΙΣΑΝ	stories	2020-03-24
