pantzari_salad	https://xinomavri.wixsite.com/website/post/pantzari_salad	Μίσχοι και παντζαρόφυλλα	recipes	2022-02-05
milena_meatpie	https://xinomavri.wixsite.com/website/post/milena_meatpie	Η κρεατόπιτα της Μιλένας	recipes	2021-10-06
kavourmas	https://xinomavri.wixsite.com/website/post/kavourmas	Βουβαλίσιος καβουρμάς	recipes	2021-01-16
vasilopita	https://xinomavri.wixsite.com/website/post/vasilopita	Τριφτή Βασιλόπιτα	recipes	2020-12-28
octapus	https://xinomavri.wixsite.com/website/post/octapus	Χταπόδι με μακαρονάκι κοφτό	recipes	2020-12-07
oliveoil	https://xinomavri.wixsite.com/website/post/oliveoil	Αρωματικό ελαιόλαδο	recipes	2020-11-23
agegia_dionisos	https://xinomavri.wixsite.com/website/post/agegia_dionisos	Που έπινε ο Διόνυσος το κρασί του - 2ο Μέρος	stories	2020-05-31
mood-of-the-day-weareback	https://xinomavri.wixsite.com/website/post/mood-of-the-day-weareback	Mood of the Day: Επιστρέφουμε	mood	2020-05-11
mood-of-the-day-02-05-20	https://xinomavri.wixsite.com/website/post/mood-of-the-day-02-05-20	Mood of the Day 02.05.20	mood	2020-05-02
makarina	https://xinomavri.wixsite.com/website/post/makarina	Ποντιακό ζυμαρικό με κινέζικο αέρα	recipes	2020-04-28
patoudo	https://xinomavri.wixsite.com/website/post/patoudo	Πάτουδο, Αρνί με ρύζι και χόρτα στα φούρνο	recipes	2020-04-19
merkouri	https://xinomavri.wixsite.com/website/post/merkouri	Ο έρωτας γεννήθηκε στο Νότο	wine	2020-04-11
mood-05-04-20	https://xinomavri.wixsite.com/website/post/mood-05-04-20	Mood 05.04.20	mood	2020-04-05
giouvetsi	https://xinomavri.wixsite.com/website/post/giouvetsi	Το γιουβέτσι της ξαδέλφης	recipes	2020-04-01
